Unnamed: 0,PClass,Sibling,Survived,encodeGender_male,Embarked_Q,Embarked_S
0,3,1,0,1,0,1
1,1,1,1,0,0,0
2,3,0,1,0,0,1
3,1,1,1,0,0,1
4,3,0,0,1,0,1
5,3,0,0,1,1,0
6,1,0,0,1,0,1
7,3,3,0,1,0,1
8,3,0,1,0,0,1
9,2,1,1,0,0,0
10,3,1,1,0,0,1
11,1,0,1,0,0,1
12,3,0,0,1,0,1
13,3,1,0,1,0,1
14,3,0,0,0,0,1
15,2,0,1,0,0,1
16,3,4,0,1,1,0
17,2,0,1,1,0,1
18,3,1,0,0,0,1
19,3,0,1,0,0,0
20,2,0,0,1,0,1
21,2,0,1,1,0,1
22,3,0,1,0,1,0
23,1,0,1,1,0,1
24,3,3,0,0,0,1
25,3,1,1,0,0,1
26,3,0,0,1,0,0
27,1,3,0,1,0,1
28,3,0,1,0,1,0
29,3,0,0,1,0,1
30,1,0,0,1,0,0
31,1,1,1,0,0,0
32,3,0,1,0,1,0
33,2,0,0,1,0,1
34,1,1,0,1,0,0
35,1,1,0,1,0,1
36,3,0,1,1,0,0
37,3,0,0,1,0,1
38,3,2,0,0,0,1
39,3,1,1,0,0,0
40,3,1,0,0,0,1
41,2,1,0,0,0,1
42,3,0,0,1,0,0
43,2,1,1,0,0,0
44,3,0,1,0,1,0
45,3,0,0,1,0,1
46,3,1,0,1,1,0
47,3,0,1,0,1,0
48,3,2,0,1,0,0
49,3,1,0,0,0,1
50,3,4,0,1,0,1
51,3,0,0,1,0,1
52,1,1,1,0,0,0
53,2,1,1,0,0,1
54,1,0,0,1,0,0
55,1,0,1,1,0,1
56,2,0,1,0,0,1
57,3,0,0,1,0,0
58,2,1,1,0,0,1
59,3,5,0,1,0,1
60,3,0,0,1,0,0
61,1,0,1,0,0,0
62,1,1,0,1,0,1
63,3,3,0,1,0,1
64,1,0,0,1,0,0
65,3,1,1,1,0,0
66,2,0,1,0,0,1
67,3,0,0,1,0,1
68,3,4,1,0,0,1
69,3,2,0,1,0,1
70,2,0,0,1,0,1
71,3,5,0,0,0,1
72,2,0,0,1,0,1
73,3,1,0,1,0,0
74,3,0,1,1,0,1
75,3,0,0,1,0,1
76,3,0,0,1,0,1
77,3,0,0,1,0,1
78,2,0,1,1,0,1
79,3,0,1,0,0,1
80,3,0,0,1,0,1
81,3,0,1,1,0,1
82,3,0,1,0,1,0
83,1,0,0,1,0,1
84,2,0,1,0,0,1
85,3,3,1,0,0,1
86,3,1,0,1,0,1
87,3,0,0,1,0,1
88,1,3,1,0,0,1
89,3,0,0,1,0,1
90,3,0,0,1,0,1
91,3,0,0,1,0,1
92,1,1,0,1,0,1
93,3,1,0,1,0,1
94,3,0,0,1,0,1
95,3,0,0,1,0,1
96,1,0,0,1,0,0
97,1,0,1,1,0,0
98,2,0,1,0,0,1
99,2,1,0,1,0,1
100,3,0,0,0,0,1
101,3,0,0,1,0,1
102,1,0,0,1,0,1
103,3,0,0,1,0,1
104,3,2,0,1,0,1
105,3,0,0,1,0,1
106,3,0,1,0,0,1
107,3,0,1,1,0,1
108,3,0,0,1,0,1
109,3,1,1,0,1,0
110,1,0,0,1,0,1
111,3,1,0,0,0,0
112,3,0,0,1,0,1
113,3,1,0,0,0,1
114,3,0,0,0,0,0
115,3,0,0,1,0,1
116,3,0,0,1,1,0
117,2,1,0,1,0,1
118,1,0,0,1,0,0
119,3,4,0,0,0,1
120,2,2,0,1,0,1
121,3,0,0,1,0,1
122,2,1,0,1,0,0
123,2,0,1,0,0,1
124,1,0,0,1,0,1
125,3,1,1,1,0,0
126,3,0,0,1,1,0
